Turtle,Orientation
1,8
2,38
3,50
4,64
5,83
6,98
7,204
8,257
9,9
10,38
11,53
12,65
13,88
14,100
15,215
16,268
17,13
18,40
19,56
20,65
21,88
22,103
23,223
24,285
25,13
26,44
27,57
28,68
29,88
30,106
31,226
32,319
33,14
34,45
35,58
36,70
37,90
38,113
39,237
40,343
41,18
42,47
43,58
44,73
45,92
46,118
47,238
48,350
49,22
50,48
51,61
52,78
53,92
54,138
55,243
56,27
57,48
58,63
59,78
60,93
61,153
62,244
63,30
64,48
65,64
66,78
67,95
68,153
69,250
70,34
71,48
72,64
73,83
74,96
75,155
76,251
