,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.0036900997161865234,0.005000451761589127,0.0007853031158447266,0.0007230760365040429,3.940131313131313,{'alpha': 3.940131313131313},-21.86431969898489,-21.61655201983504,-24.05130788854651,-27.631087415526142,-24.373046379011296,-23.907262680380775,2.169126344386536,4
1,0.0007703781127929687,0.0009446664181583801,0.0002429962158203125,0.0004859924316406251,12.12140404040404,{'alpha': 12.12140404040404},-22.03553368986926,-21.62680945208621,-24.11223861357802,-27.879558006195772,-25.039693658632665,-24.138766684072387,2.2600624341340843,9
2,0.004778146743774414,0.004771185109265983,0.0,0.0,12.424414141414141,{'alpha': 12.424414141414141},-22.040248952201793,-21.62143051549075,-24.115006819703954,-27.882289217946955,-25.058867557360603,-24.14356861254081,2.262819209475061,10
3,0.0004099369049072266,0.0008198738098144532,0.0031364917755126952,0.0062729835510253905,10.303343434343434,{'alpha': 10.303343434343434},-22.00709828815119,-21.65609856004688,-24.09717634123905,-27.858735037320425,-24.919470637617888,-24.10771577287509,2.242865280736057,7
4,0.0013650417327880859,0.001817403833220729,0.0019591331481933595,0.0022524085422680386,11.666888888888888,{'alpha': 11.666888888888888},-22.02846321788019,-21.634655493914703,-24.108225980996416,-27.875107977092206,-25.010500309456926,-24.131390595868087,2.2558714522244037,8
5,0.004265117645263672,0.005534699648383426,0.0005634784698486328,0.0008957862854003907,5.606686868686869,{'alpha': 5.606686868686869},-21.917757771625155,-21.67124911773378,-24.06609761491774,-27.735057006833443,-24.546144302887388,-23.987261162799502,2.1914057277458596,5
6,0.003669261932373047,0.005465985307474591,0.0005528926849365234,0.0011057853698730469,0.45551515151515154,{'alpha': 0.45551515151515154},-21.71200357183448,-20.90401323331498,-24.097585104858272,-26.883769727783278,-23.87929178961539,-23.49533268548128,2.0922159253142567,1
7,0.0005725860595703125,0.001145172119140625,0.00305328369140625,0.0055208369651186025,8.333777777777778,{'alpha': 8.333777777777778},-21.974553007448772,-21.678178967162083,-24.08353400731501,-27.82389230906054,-24.776746853583834,-24.06738102891405,2.222748452213997,6
8,0.0023830413818359377,0.0025948252354556756,0.0,0.0,3.03110101010101,{'alpha': 3.03110101010101},-21.822339448018,-21.550930765177004,-24.03951250930296,-27.54085201502907,-24.26122437246246,-23.8429718219979,2.1551932051060763,3
9,0.003015565872192383,0.00199381509821127,0.0013353824615478516,0.0014041824497357436,2.5765858585858585,{'alpha': 2.5765858585858585},-21.796355335504305,-21.501721989812083,-24.032489305759004,-27.48074391270347,-24.198923060833376,-23.802046720922448,2.1474505556591215,2
